tripleuse_typed,numEffects,isBlue,singleuse_isBlue,singleuse_cmc,hasX,typedRatio,singleuse_typed,abilityKey,singleuse_isBlack,singleuse_isWhite,singleuse_isColorless,tripleuse_typedRatio,singleuse_isGreen,singleuse_isRed,isColorless,isGreen,singleuse_hasX,typed,singleuse_typedRatio,tripleuse_cmc,isBlack,cmc,isWhite,isRed,numCosts,keyword_functionsInHand,keyword_keywordAbilityId,keyword_isAlternateCost,keyword_isTriggered,keyword_reducesCost,keyword_easesCosts,keyword_isEvasion,keyword_isContinuous,keyword_functionsInGraveyard,keyword_hasCost,keyword_functionsInBattlefield,keyword_hasTargets,keyword_modifiedResolution,keyword_isAdditionalCost,keyword_isActivated,CREATURES_YOU_CONTROL,PLUS_PLUS,ENTERS_TAPPED,TAP,EXTRA_TURN,OTHER_COST,DEALS_DAMAGE,AT_UPKEEP,CREATES_TOKEN,EXILE_CARD,REGENERATE,WHENEVER_ATTACKS,PLUSX_COUNTERS
1.0,0,false,false,1.0,false,0.0,1.0,Animate Wall1,false,true,false,0.0,false,false,false,false,false,0.0,0.0,1.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,Animate Wall2,,,,,,,,,,,,,,,,,,null,15,null,null,null,null,null,true,null,null,true,true,null,null,null,,,,,,,,,,,,,
1.0,2,false,false,2.0,false,0.0,1.0,Kobold Drill Sergeant1,false,false,false,0.0,false,true,false,false,false,0.0,0.0,2.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,true,true,,,,,,,,,,,
0.0,1,false,false,2.0,false,0.0,0.0,Time Vault2,false,false,false,0.0,false,false,false,false,false,0.0,0.0,2.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,true,,,,,,,,,,
0.0,1,false,false,2.0,false,0.0,0.0,Time Vault1,false,false,false,0.0,false,false,false,false,false,0.0,0.0,2.0,false,0.0,false,false,1,,,,,,,,,,,,,,,,,,,true,true,,,,,,,,
0.0,1,false,false,6.0,false,0.0,0.0,Masticore2,false,false,false,0.0,false,false,false,false,false,0.0,0.0,10.0,false,2.0,false,false,1,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,
0.0,0,false,false,1.0,false,0.0,0.0,Brass Man2,false,false,false,0.0,false,false,false,false,false,0.0,0.0,1.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,false,false,2.0,false,0.0,0.0,Time Vault4,false,false,false,0.0,false,false,false,false,false,0.0,0.0,2.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0,false,false,4.0,false,0.0,0.0,Masticore1,false,false,false,0.0,false,false,false,false,false,0.0,0.0,4.0,false,0.0,false,false,1,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
0.0,0,false,false,2.0,false,0.0,0.0,Brass Man1,false,false,false,0.0,false,false,false,false,false,0.0,0.0,4.0,false,1.0,false,false,2,,,,,,,,,,,,,,,,,,,,,true,,true,,,,,
0.0,0,false,false,2.0,false,0.0,0.0,Time Vault3,false,false,false,0.0,false,false,false,false,false,0.0,0.0,2.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,1,false,false,3.0,false,0.0,2.0,Night Soil1,false,false,false,0.0,true,false,false,false,false,0.0,0.0,5.0,false,1.0,false,false,2,,,,,,,,,,,,,,,,,,,,,true,,,true,true,,,
"",,,,,,,,Wall of Air2,,,,,,,,,,,,,,,,,,null,19,null,null,null,null,true,true,null,null,true,null,null,null,null,,,,,,,,,,,,,
0.0,1,false,false,2.0,false,0.0,0.0,Hivestone1,false,false,false,0.0,false,false,false,false,false,0.0,0.0,2.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,true,,,,,,,,,,,,
"",,,,,,,,Wall of Air1,,,,,,,,,,,,,,,,,,null,13,null,null,null,null,null,true,null,null,true,null,null,null,null,,,,,,,,,,,,,
0.0,1,false,false,6.0,false,0.0,0.0,Masticore3,false,false,false,0.0,false,false,false,false,false,0.0,0.0,10.0,false,2.0,false,false,1,,,,,,,,,,,,,,,,,,,,,true,,,,,true,,
2.0,1,false,false,5.0,false,0.0,2.0,Herald of War1,false,true,false,0.0,false,false,false,false,false,0.0,0.0,5.0,false,0.0,false,false,1,,,,,,,,,,,,,,,,,,,,,,,,,,,true,true
2.0,1,false,false,5.0,false,0.0,2.0,Herald of War2,false,true,false,0.0,false,false,false,false,false,0.0,0.0,5.0,false,0.0,false,false,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,true
"",,,,,,,,Herald of War3,,,,,,,,,,,,,,,,,,null,19,null,null,null,null,true,true,null,null,true,null,null,null,null,,,,,,,,,,,,,
0.0,1,false,false,6.0,false,0.0,0.0,Rocket Launcher1,false,false,false,0.0,false,false,false,false,false,0.0,0.0,10.0,false,2.0,false,false,1,,,,,,,,,,,,,,,,,,,,,true,true,,,,,,
