OTHER_COST,CREATES_TOKEN,numCosts,numEffects,isGreen,typed,isBlue,isBlack,isColorless,cmc,isWhite,isRed,hasX,typedRatio,singleuse_isGreen,singleuse_typed,singleuse_isBlue,singleuse_isBlack,singleuse_isColorless,singleuse_cmc,singleuse_isWhite,singleuse_isRed,singleuse_hasX,singleuse_typedRatio,tripleuse_cmc,tripleuse_typed,tripleuse_typedRatio,abilityKey,PLUS_LOYALTY,EXILE_TARGET,CANT_BE_BLOCKED,DEALS_DAMAGE,PLUS_PLUS,CREATURES_YOU_CONTROL,GRANTS_ABILITY,DESTROY_TARGET,DRAW_CARD,ADD_MANA,RETURN_TARGET,SCRY,DESTROY_THAT,SEARCH,GAIN_LIFE,MINUS_MINUS,DESTROY_ALL,FIGHT,PLUSX_COUNTERS,DEAL_DAMAGE,EXILE_ALL,ARTIFACTS_YOU_CONTROL,LANDS_YOU_CONTROL,EXTRA_TURN
true,true,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,"Gideon, Ally of Zendikar2",,,,,,,,,,,,,,,,,,,,,,,,
"",,1,0,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,"Gideon, Ally of Zendikar1",true,,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Venser, the Sojourner3",,true,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Venser, the Sojourner2",,,true,,,,,,,,,,,,,,,,,,,,,
"",,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,true,false,false,5.0,false,false,false,0.4,5.0,2.0,0.4,"Venser, the Sojourner1",true,true,,,,,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Chandra, Roaring Flame3",,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,false,2.0,false,false,false,4.0,true,false,false,0.5,4.0,2.0,0.5,"Gideon, Ally of Zendikar3",,,,,true,true,,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,false,0.0,false,false,false,0.0,false,false,false,0.0,0.0,0.0,0.0,"Chandra, Roaring Flame2",,,,true,,,,,,,,,,,,,,,,,,,,
true,,1,2,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,7.0,false,false,false,0.2857143,7.0,2.0,0.2857143,"Garruk, Apex Predator4",,,,,true,,true,,,,,,,,,,,,,,,,,
true,,1,1,false,0.0,false,false,false,0.0,false,false,false,0.0,true,2.0,false,false,false,7.0,false,false,false,0.2857143,7.0,2.0,0.2857143,"Garruk, Apex Predator3",,,,,,,,true,,,,,,,,,,,,,,,,
